Year,Team,YrTm,Season,CY Season Rank,CY Playoff Rank,GP,W,L,OT,P,ROW,P%,Shots/GP,GF/GP,GA/GP,PP%,PK%,Shots/GP,FOW%,TOI,GF,GA,GF60,GA60,GF%,SF,SA,SF60,SA60,SF%,FF,FA,FF60,FA60,FF%,CF,CA,CF60,CA60,CF%,Sh%,Sv%,PDO,OZFO%,DZFO%,NZFO%,GF-GA,GF/W,GF/L,GA/W,GA/L,PY Playoff RNK,2PY Playoff RNK,3PY Playoff RNK,4PYPlayoff RNK
2016,San Jose Sharks,2016San Jose Sharks,Regular,11,2,82,46,30,6,98,42,0.598,30.4,2.89,2.52,22.5,80.5,30.4,50.7,207.2618056,237,205,2.86,2.47,53.6,2458,2225,29.6,26.8,52.5,3460,3083,41.7,37.2,52.9,4666,4363,56.3,52.6,51.7,9.64,90.79,100.4,32.9,32.8,34.4,32,5.152173913,7.9,4.456521739,6.833333333,22,11,6,15
2016,Florida Panthers,2016Florida Panthers,Regular,5,11,82,47,26,9,103,40,0.628,28.8,2.83,2.44,16.9,79.5,28.8,50.1,207.7486111,231,200,2.78,2.41,53.6,2357,2416,28.4,29.1,49.4,3213,3311,38.7,39.8,49.2,4101,4253,49.4,51.2,49.1,9.8,91.72,101.5,32.9,35.1,32,31,4.914893617,8.884615385,4.255319149,7.692307692,20,29,30,10
2016,Anaheim Ducks,2016Anaheim Ducks,Regular,5,9,82,46,25,11,103,43,0.628,30.3,2.62,2.29,23.1,87.2,30.3,51.9,207.3763889,213,188,2.57,2.27,53.1,2469,2227,29.8,26.8,52.6,3540,3162,42.7,38.1,52.8,4698,4330,56.6,52.2,52,8.63,91.56,100.2,33.4,35,31.6,25,4.630434783,8.52,4.086956522,7.52,3,5,9,25
2016,Tampa Bay Lightning,2016Tampa Bay Lightning,Regular,12,3,82,46,31,5,97,43,0.591,29.3,2.73,2.41,15.8,84,29.3,49.5,206.8756944,222,197,2.68,2.38,53,2397,2362,29,28.5,50.4,3390,3316,41,40.1,50.6,4544,4343,54.9,52.5,51.1,9.26,91.66,100.9,35.5,32.3,32.1,25,4.826086957,7.161290323,4.282608696,6.35483871,2,16,28,21
2016,Chicago Blackhawks,2016Chicago Blackhawks,Regular,5,10,82,47,26,9,103,46,0.628,30.5,2.85,2.52,22.6,80.3,30.5,49.3,207.1444444,232,207,2.8,2.5,52.8,2496,2527,30.1,30.5,49.7,3345,3399,40.4,41,49.6,4590,4532,55.4,54.7,50.3,9.29,91.81,101.1,33.9,32.5,33.6,25,4.936170213,8.923076923,4.404255319,7.961538462,1,3,1,12
2016,St. Louis Blues,2016St. Louis Blues,Regular,3,4,82,49,24,9,107,44,0.652,30.2,2.67,2.4,21.5,85.1,30.2,51.3,208.5194444,219,196,2.63,2.35,52.8,2473,2439,29.6,29.2,50.3,3391,3328,40.7,39.9,50.5,4494,4455,53.9,53.4,50.2,8.86,91.96,100.8,32.8,36.1,31.2,23,4.469387755,9.125,4,8.166666667,13,14,13,8
2016,New York Rangers,2016New York Rangers,Regular,9,16,82,46,27,9,101,43,0.616,28.5,2.84,2.62,18.6,78.2,28.5,49.2,207.2701389,232,215,2.8,2.59,51.9,2331,2493,28.1,30.1,48.3,3267,3503,39.4,42.3,48.3,4360,4817,52.6,58.1,47.5,9.95,91.38,101.3,33,34.2,32.8,17,5.043478261,8.592592593,4.673913043,7.962962963,4,2,7,3
2016,New York Islanders,2016New York Islanders,Regular,10,8,82,45,27,10,100,40,0.61,29.4,2.77,2.57,18.3,84.5,29.4,50.1,208.5375,227,211,2.72,2.53,51.8,2410,2495,28.9,29.9,49.1,3352,3407,40.2,40.8,49.6,4602,4729,55.2,56.7,49.3,9.42,91.54,101,34.5,33.2,32.3,16,5.044444444,8.407407407,4.688888889,7.814814815,10,26,12,27
2016,Nashville Predators,2016Nashville Predators,Regular,13,6,82,41,27,14,96,37,0.585,30.6,2.73,2.6,19.7,81.2,30.6,48.7,207.45,223,212,2.69,2.55,51.3,2506,2240,30.2,27,52.8,3467,3036,41.8,36.6,53.3,4617,4268,55.6,51.4,52,8.9,90.54,99.4,35,33.1,31.9,11,5.43902439,8.259259259,5.170731707,7.851851852,11,19,27,6
2016,Minnesota Wild,2016Minnesota Wild,Regular,17,12,82,38,33,11,87,35,0.53,29,2.6,2.49,18.5,77.9,29,52.5,207.3680556,213,204,2.57,2.46,51.1,2372,2344,28.6,28.3,50.3,3273,3346,39.5,40.3,49.4,4373,4551,52.7,54.9,49,8.98,91.3,100.3,34.9,32.9,32.2,9,5.605263158,6.454545455,5.368421053,6.181818182,8,8,14,24
